ID,SciName,Name,Total,IdUbication,Ubication,Lat,Long,Date
OBS1701553118,Egretta garzetta,Little Egret,4,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553116,Himantopus himantopus,Black-winged Stilt,8,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553110,Calidris ferruginea,Curlew Sandpiper,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553106,Gallinula chloropus,Eurasian Moorhen,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553096,Calidris alpina,Dunlin,10,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553099,Ardea cinerea,Gray Heron,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553103,Chroicocephalus genei,Slender-billed Gull,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553094,Larus michahellis,Yellow-legged Gull,5,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553098,Arenaria interpres,Ruddy Turnstone,25,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553111,Pluvialis squatarola,Black-bellied Plover,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553113,Sterna hirundo,Common Tern,2,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553105,Charadrius alexandrinus,Kentish Plover,12,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553100,Charadrius hiaticula,Common Ringed Plover,30,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553107,Tadorna tadorna,Common Shelduck,6,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553112,Tringa nebularia,Common Greenshank,3,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553097,Tringa totanus,Common Redshank,3,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553101,Sternula albifrons,Little Tern,12,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553114,Ardea alba,Great Egret,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553109,Calidris minuta,Little Stint,2,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553117,Podiceps cristatus,Great Crested Grebe,40,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553102,Anas platyrhynchos,Mallard,3,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701546698,Delichon urbicum,Common House-Martin,2,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546700,Egretta garzetta,Little Egret,2,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546704,Thalasseus sandvicensis,Sandwich Tern,2,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546703,Cecropis daurica,Red-rumped Swallow,3,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546699,Bubulcus ibis,Cattle Egret,2,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546702,Passer domesticus,House Sparrow,1,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546697,Larus michahellis,Yellow-legged Gull,1,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546705,Cisticola juncidis,Zitting Cisticola,1,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1701546701,Ichthyaetus audouinii,Audouin's Gull,3,L5287538,Puerto de Los Urrutias,376.776.750,-0.8266167,28/04/2023
OBS1702742087,Calidris alpina,Dunlin,8,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742077,Columba palumbus,Common Wood-Pigeon,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742085,Charadrius alexandrinus,Kentish Plover,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702971702,Plegadis falcinellus,Glossy Ibis,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742091,Gelochelidon nilotica,Gull-billed Tern,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702971701,Passer domesticus,House Sparrow,10,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702971704,Cisticola juncidis,Zitting Cisticola,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742084,Apus melba,Alpine Swift,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742092,Ardea alba,Great Egret,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742076,Tringa glareola,Wood Sandpiper,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742079,Ardea cinerea,Gray Heron,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742097,Sternula albifrons,Little Tern,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742088,Pluvialis squatarola,Black-bellied Plover,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742101,Calidris alba,Sanderling,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742082,Arenaria interpres,Ruddy Turnstone,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742093,Egretta garzetta,Little Egret,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742090,Gallinula chloropus,Eurasian Moorhen,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742098,Phoenicopterus roseus,Greater Flamingo,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702971703,Hirundo rustica,Barn Swallow,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742100,Charadrius dubius,Little Ringed Plover,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742083,Glareola pratincola,Collared Pratincole,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742094,Apus apus,Common Swift,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742086,Tadorna tadorna,Common Shelduck,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742095,Himantopus himantopus,Black-winged Stilt,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742096,Actitis hypoleucos,Common Sandpiper,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742078,Charadrius hiaticula,Common Ringed Plover,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742081,Ardeola ralloides,Squacco Heron,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742080,Calidris ferruginea,Curlew Sandpiper,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702742089,Podiceps cristatus,Great Crested Grebe,8,L5171766,Marina del Carmolí,377.016.827,-0.8547020,29/04/2023
OBS1702581488,Burhinus oedicnemus,Eurasian Thick-knee,4,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581489,Columba palumbus,Common Wood-Pigeon,24,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581490,Sturnus unicolor,Spotless Starling,1,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581492,Curruca melanocephala,Sardinian Warbler,2,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581499,Chloris chloris,European Greenfinch,2,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581493,Cecropis daurica,Red-rumped Swallow,3,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581495,Myiopsitta monachus,Monk Parakeet,3,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581487,Sturnus vulgaris,European Starling,1,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581485,Apus pallidus,Pallid Swift,16,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
OBS1702581496,Acrocephalus schoenobaenus,Sedge Warbler,1,L6773140,Punta Lengua de Vaca,376.480.826,-0.7740393,29/04/2023
