sensor;locationId;altitude;lat;long;value;dateOriginal;date
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6273276;1676710800000;18/02/2023 9:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5785256;1676714400000;18/02/2023 10:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5145134;1676718000000;18/02/2023 11:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5637767;1676721600000;18/02/2023 12:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6882978;1676725200000;18/02/2023 13:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7433125;1676728800000;18/02/2023 14:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7612773;1676732400000;18/02/2023 15:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7589266;1676736000000;18/02/2023 16:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.776358;1676739600000;18/02/2023 17:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7269434;1676743200000;18/02/2023 18:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7503734;1676746800000;18/02/2023 19:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7478735;1676750400000;18/02/2023 20:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7602285;1676754000000;18/02/2023 21:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.740468;1676757600000;18/02/2023 22:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7456511;1676761200000;18/02/2023 23:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7426971;1676764800000;19/02/2023 0:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.734584;1676768400000;19/02/2023 1:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7103066;1676772000000;19/02/2023 2:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6878404;1676775600000;19/02/2023 3:00
